date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:45	1854/1854	---M--	404	error ('Not%20Found')	text/html	etag:W/%22R2wbLNWAE+hwlgFV6hYJgQ==%22	http://xfair.mit.edu/robots.txt		(from )
13:08:59	24420/24420	---M--	200	added ('OK')	text/html	etag:W/%2245ZZGqzwJOz6efzbM1+qoQ==%22	http://xfair.mit.edu/	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/index.html	(from )
13:09:01	1854/1854	---M--	404	error ('Not%20Found')	text/html	etag:W/%22R2wbLNWAE+hwlgFV6hYJgQ==%22	http://xfair.mit.edu/public/images/favicon.ico	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/public/images/favicon.0.delayed	(from http://xfair.mit.edu/)
13:09:57	113498/113498	---MCZ	200	added ('OK')	text/css	etag:W/%223ab3438f85ad9f9e27e1af1facf0a9c4%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	/home/girish/Desktop/My_Websites/eweek/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	(from http://xfair.mit.edu/)
13:09:59	19835/19835	---MCZ	200	added ('OK')	text/css	etag:W/%2295eb835999f0c2f1f3218d46e6c30137%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap-theme.min.css	/home/girish/Desktop/My_Websites/eweek/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap-theme.min.css	(from http://xfair.mit.edu/)
13:09:59	83615/83615	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2254499a47-1469f%22	http://code.jquery.com/jquery-2.1.0.min.js	/home/girish/Desktop/My_Websites/eweek/code.jquery.com/jquery-2.1.0.min.js	(from http://xfair.mit.edu/)
13:10:06	35601/35601	---MCZ	200	added ('OK')	text/javascript	etag:W/%222616d3564578d8f845813483352802a9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js	/home/girish/Desktop/My_Websites/eweek/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js	(from http://xfair.mit.edu/)
13:10:07	2626/2626	---MC-	200	added ('OK')	text/css	date:Tue,%2003%20Feb%202015%2007:40:07%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:300italic,400italic,600italic,700italic,800italic,400,300,600,700,800	/home/girish/Desktop/My_Websites/eweek/fonts.googleapis.com/css5c84.css	(from http://xfair.mit.edu/)
13:10:09	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22feda974a77ea5783b8be673f142b7c88%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	/home/girish/Desktop/My_Websites/eweek/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://xfair.mit.edu/)
13:10:10	17351/17351	---M--	200	added ('OK')	text/css	etag:W/%2243c7-4157009234%22	http://xfair.mit.edu/stylesheets/style.css	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/stylesheets/style.css	(from http://xfair.mit.edu/)
13:10:11	1767/1767	---M--	200	added ('OK')	application/javascript	etag:W/%226e7-4157009234%22	http://xfair.mit.edu/javascripts/skrollr.menu.min.js	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/javascripts/skrollr.menu.min.js	(from http://xfair.mit.edu/)
13:10:13	45399/45399	---M--	200	added ('OK')	application/javascript	etag:W/%22b157-4157009234%22	http://xfair.mit.edu/javascripts/skrollr.js	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/javascripts/skrollr.js	(from http://xfair.mit.edu/)
13:10:13	95786/95786	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20May%202014%2002:26:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	/home/girish/Desktop/My_Websites/eweek/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://xfair.mit.edu/)
13:10:16	1215/1215	---M--	200	added ('OK')	application/javascript	etag:W/%224bf-4157009234%22	http://xfair.mit.edu/javascripts/style.js	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/javascripts/style.js	(from http://xfair.mit.edu/)
13:10:17	52640/52640	---M--	200	added ('OK')	application/javascript	etag:W/%22cda0-4157009234%22	http://xfair.mit.edu/javascripts/jquery.flexslider.js	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/javascripts/jquery.flexslider.js	(from http://xfair.mit.edu/)
13:10:33	5213/5213	---M--	200	added ('OK')	text/css	etag:W/%22145d-4157009234%22	http://xfair.mit.edu/stylesheets/flexslider.css	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/stylesheets/flexslider.css	(from http://xfair.mit.edu/)
13:10:58	201587/201587	---M--	200	added ('OK')	image/png	etag:%226d16906a0eaf0f9185c329420d522bc0%22	http://i.imgur.com/YTmZVD9.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/YTmZVD9.png	(from http://xfair.mit.edu/)
13:11:28	367112/367112	---M--	200	added ('OK')	image/png	etag:%2234c2654b8fb0f41543d3d45e200342df%22	http://i.imgur.com/RcZdws4.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/RcZdws4.png	(from http://xfair.mit.edu/)
13:11:39	402336/402336	---M--	200	added ('OK')	image/png	etag:%22ab59c6da430e1f61cfd6ae2a0bce815f%22	http://i.imgur.com/Z5PCaE9.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/Z5PCaE9.png	(from http://xfair.mit.edu/)
13:11:40	5839/5839	---M--	200	added ('OK')	text/html	etag:W/%22uyc754ysDli8mhenLsgzFQ==%22	http://xfair.mit.edu/drop	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/drop.html	(from http://xfair.mit.edu/)
13:11:41	7110/7110	---M--	200	added ('OK')	text/html	etag:W/%22RWf/yeCeaO2pvNygdfO7+w==%22	http://xfair.mit.edu/student	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/student.html	(from http://xfair.mit.edu/)
13:12:01	388165/388165	---M--	200	added ('OK')	image/png	etag:%221b9547d8ace6d1b154eb85f7ba76f077%22	http://i.imgur.com/1mOEldA.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/1mOEldA.png	(from http://xfair.mit.edu/)
13:12:11	182366/182366	---M--	200	added ('OK')	image/png	etag:%22692cb88db1024279fc1dc2abe7a808b2%22	http://i.imgur.com/aQQiho7.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/aQQiho7.png	(from http://xfair.mit.edu/)
13:12:36	422106/422106	---M--	200	added ('OK')	image/png	etag:%220bc23a774096a76e8051f40398ea5692%22	http://i.imgur.com/QhNY53v.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/QhNY53v.png	(from http://xfair.mit.edu/)
13:12:38	224979/224979	---M--	200	added ('OK')	image/png	etag:%227c8d1fd5998ca0ef02061f361b18018d%22	http://i.imgur.com/W1zbIBP.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/W1zbIBP.png	(from http://xfair.mit.edu/)
13:12:53	262327/262327	---M--	200	added ('OK')	image/png	etag:%22ef97acb8443fc70abda4679d8949879e%22	http://i.imgur.com/4FNmE3a.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/4FNmE3a.png	(from http://xfair.mit.edu/)
13:13:11	216942/216942	---M--	200	added ('OK')	image/png	etag:%22abac355231aed438efe6f121c27f1ff9%22	http://i.imgur.com/aeLxt1j.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/aeLxt1j.png	(from http://xfair.mit.edu/)
13:13:43	1540324/1540324	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221780e4-4157009234%22	http://xfair.mit.edu/assets/Avenir.ttc	/home/girish/Desktop/My_Websites/eweek/xfair.mit.edu/assets/Avenir.ttc	(from http://xfair.mit.edu/)
13:13:54	472986/472986	---M--	200	added ('OK')	image/png	etag:%229b985e5748f2ce05f1ecc4754f8f7d58%22	http://i.imgur.com/05qYTMX.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/05qYTMX.png	(from http://xfair.mit.edu/)
13:14:01	424970/424970	---M--	200	added ('OK')	image/png	etag:%222e7502fe395bf1525287fd58da4d449d%22	http://i.imgur.com/WTDoDRx.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/WTDoDRx.png	(from http://xfair.mit.edu/)
13:14:02	113985/113985	---M--	200	added ('OK')	image/jpeg	etag:%220b1370cd0e723f0ee6fd5af1d61b219d%22	https://www.filepicker.io/api/file/B8PsEEbdRzKhVFzkZz23	/home/girish/Desktop/My_Websites/eweek/www.filepicker.io/api/file/DIRECTV_logo_RGB[1].JPG	(from http://xfair.mit.edu/)
13:14:08	23950/23950	---M--	200	added ('OK')	image/jpeg	etag:%226d271e17cb4ddac61ae65b72b9195558%22	https://www.filepicker.io/api/file/ZqkaisZ6RR65wIyVe6K9	/home/girish/Desktop/My_Websites/eweek/www.filepicker.io/api/file/Design--Resource_Center--Facebook_Logo--facebook_logo.jpg	(from http://xfair.mit.edu/)
13:14:14	78002/78002	---M--	200	added ('OK')	image/jpeg	etag:%22dd6eaae4d9309ed613f5e26addf259c5%22	https://www.filepicker.io/api/file/zu53gsI6Q7CumRSgbTRQ	/home/girish/Desktop/My_Websites/eweek/www.filepicker.io/api/file/Akamai-Logo-RGB-3.jpeg	(from http://xfair.mit.edu/)
13:14:21	475279/475279	---M--	200	added ('OK')	image/png	etag:%225d9f4db01c14bd829984c3b31393f9d2%22	http://i.imgur.com/kPq55zP.png	/home/girish/Desktop/My_Websites/eweek/i.imgur.com/kPq55zP.png	(from http://xfair.mit.edu/)
13:14:21	197382/197382	---M--	200	added ('OK')	image/jpeg	etag:%22232c3d4fc516434e5239fc454655d964%22	https://www.filepicker.io/api/file/HV3aWXqzTvSzwsv08YKy	/home/girish/Desktop/My_Websites/eweek/www.filepicker.io/api/file/TwoSigma_Logo_RGB_Highres.jpg	(from http://xfair.mit.edu/)
13:14:21	112693/112693	---M--	200	added ('OK')	image/jpeg	etag:%228a6adf687f44ea91f69e3a6b07dd52ca%22	https://www.filepicker.io/api/file/8jWAqpsJRZucG8JDNnCE	/home/girish/Desktop/My_Websites/eweek/www.filepicker.io/api/file/SLB%20-%20Standard.jpg	(from http://xfair.mit.edu/)
13:14:21	9434/9434	---M--	200	added ('OK')	image/png	etag:%2218b69726d5b85c225446e24a5b39abe1%22	https://www.filepicker.io/api/file/QmjGZkvnSo2SUYGJ5syp	/home/girish/Desktop/My_Websites/eweek/www.filepicker.io/api/file/WATDF_logo_BKTXT_PMS286.png	(from http://xfair.mit.edu/)
13:14:27	22770/22770	---M--	200	added ('OK')	image/png	etag:%22a5bb5c23999a6820dc5125559756db3a%22	https://www.filepicker.io/api/file/Y3mreJFpSW6StA3Aiged	/home/girish/Desktop/My_Websites/eweek/www.filepicker.io/api/file/Untitled.png	(from http://xfair.mit.edu/)
13:14:30	4926/4926	---M--	200	added ('OK')	image/png	etag:%22c550ef195201aa1ca274c67be10fd90c%22	https://www.filepicker.io/api/file/XS5JhweWTE6PcNJsBIyY	/home/girish/Desktop/My_Websites/eweek/www.filepicker.io/api/file/Bridgewater_AssociatesLogo.png	(from http://xfair.mit.edu/)
